fixture_id,league,season_id,date_unix,home_id,away_id,home_team,away_team,status,odd_home_d2,odd_draw_d2,odd_away_d2,odd_btts_d2,odd_over25_d2,xg_home_pre,xg_away_pre,ppg_home,ppg_away,datahora,elo_delta,xg_n10_diff,xg_pre_diff,pct_vit_diff,ppg_diff,gols_marc_diff,gols_sof_diff,n10_home,n10_away,elo_home,elo_away,xg_home_n10,xg_away_n10,pct_vit_home,pct_vit_away,gols_marc_home,gols_marc_away,pct_over25_home,pct_over25_away,prob_bc,prob_bf,prob_btts,prob_over25,prob_o05ht,prob_btts_ht,ev_bc_d2,ev_bf_d2,ev_btts_d2,ev_over25_d2,ev_o05ht_d2,ev_btts_ht_d2,ev_bc,odd_home_atual,mov_odd_home,ev_bf,odd_away_atual,mov_odd_away,ev_btts,odd_btts_atual,mov_odd_btts,ev_over25,odd_over25_atual,mov_odd_over25,sos_home_raw,sos_home_norm,sos_home_n,sos_away_raw,sos_away_norm,sos_away_n,z_gols_home,z_gols_home_adj,z_gols_away,z_gols_away_adj,z_xg_home,z_xg_home_adj,z_xg_away,z_xg_away_adj,z_vit_home,z_vit_home_adj,z_vit_away,z_vit_away_adj,prob_mercado_casa,prob_mercado_fora,gols_home_adj,gols_away_adj,custo_gol_casa,custo_gol_fora,valor_gol_casa,valor_gol_fora,luck_home,luck_away,delta_bc,delta_bf,IL_casa,IL_fora,classificacao_IL
8234909,Espanha_2 Segunda Division,15066,1774728000,316,6257,Albacete Balompié,CD Castellón,incomplete,2.7,3.5,2.15,1.55,1.72,1.51,1.59,1.4,1.25,2026-03-28 17:00,15.569823381187916,-0.2379999999999997,-0.08,0.0,0.1499999999999999,-0.4000000000000001,-0.6000000000000001,10,10,1519.9391682931475,1554.3693449119596,1.411,1.6489999999999998,0.4,0.4,1.2,1.6,0.3,0.4,0.33302858629177,0.3792431668383997,0.5632141094829645,0.5233556346868747,0.7123031460010362,0.2027138255503364,-0.1008228170122207,-0.1846271912974406,-0.127018130301405,-0.0998283083385754,0.2251614111217821,-0.6857935703969784,-0.1008228170122209,2.7,0.0,-0.1846271912974406,2.15,0.0,-0.127018130301405,1.55,0.0,-0.0998283083385754,1.72,0.0,1517.9,1.0119,10,1490.14,0.9934,10,-0.4971,-0.4913,0.5775,0.5813,-0.4116,-0.4068,1.0123,1.019,-0.408,-0.4032,0.0387,0.039,0.3704,0.4651,1.284,1.62,3.4679,3.4821,0.5974,0.5999,-0.211,-0.049,-0.0373,-0.0859,0.7329,0.3467,NEUTRO
8235086,Espanha_2 Segunda Division,15066,1774810800,296,4556,Almería,Real Sociedad II,incomplete,1.56,4.69,5.4,0.0,0.0,1.86,1.36,2.13,0.93,2026-03-29 16:00,30.55025153388783,0.008,0.5,-0.1999999999999999,1.1999999999999995,-0.4000000000000001,0.0999999999999998,10,10,1542.678195265608,1562.12794373172,1.516,1.508,0.5,0.7,1.8,2.2,0.7,0.6,0.4533969940472206,0.2769765457917329,0.55354808764063,0.5383347339451926,0.7210895132223629,0.209996054697167,-0.2927006892863357,0.4956733472753578,-1.0,-1.0,-1.0,-1.0,-0.2927006892863358,1.56,0.0,0.4956733472753578,5.4,0.0,,,,,,,1461.78,0.9745,10,1521.67,1.0144,10,0.397,0.4074,1.6138,1.5909,-0.12,-0.1231,0.5774,0.5692,-0.0008,-0.0008,1.4199,1.3997,0.641,0.1852,1.686,1.923,2.6308,10.3853,0.3123,1.2328,0.284,0.692,-0.1876,0.0918,0.3621,0.6363,POTENCIAL_FORA
8235093,Espanha_2 Segunda Division,15066,1774710900,297,4546,Real Valladolid,Burgos CF,incomplete,2.2,2.9,3.1,2.1,2.45,1.73,1.02,1.27,1.4,2026-03-28 12:15,-61.5742216321994,0.1340000000000003,0.71,-0.3,-0.1299999999999999,0.0999999999999998,1.2999999999999998,10,10,1432.820422455096,1544.3946440872955,1.307,1.1729999999999996,0.2,0.5,1.2,1.1,0.7,0.3,0.3601799714543023,0.3756683237708416,0.5369904415126142,0.5446495535868768,0.7300444077281847,0.1868512491943374,-0.2076040628005347,0.1645718036896089,0.1276799271764899,0.3343914062878483,0.7886087989340527,-0.6076123766918915,-0.2076040628005349,2.2,0.0,0.1645718036896089,3.1,0.0,0.1276799271764899,2.1,0.0,0.3343914062878483,2.45,0.0,1489.97,0.9933,10,1488.94,0.9926,10,-0.4971,-0.5005,-0.286,-0.2881,-0.7004,-0.7051,-0.4559,-0.4593,-1.2223,-1.2305,0.4991,0.5028,0.4545,0.3226,1.243,1.129,2.7342,3.5005,0.4009,0.5133,-0.107,-0.073,-0.0944,0.0531,0.5081,0.4887,NEUTRO
8235096,Espanha_2 Segunda Division,15066,1774985400,297,310,Real Valladolid,Cádiz,incomplete,1.75,3.95,4.63,0.0,0.0,1.73,0.96,1.27,1.2,2026-03-31 16:30,14.744546746171636,0.0449999999999999,0.77,0.0,0.07,0.0999999999999998,0.2999999999999998,10,10,1432.820422455096,1468.0758757089245,1.307,1.262,0.2,0.2,1.2,1.1,0.7,0.5,0.4598679952314894,0.2821116323732207,0.5560706270391154,0.5702805270039641,0.7482036097786312,0.199186402797756,-0.1952310083448935,0.3061768578880117,-1.0,-1.0,-1.0,-1.0,-0.1952310083448935,1.75,0.0,0.3061768578880117,4.63,0.0,,,,,,,1489.97,0.9933,10,1483.92,0.9892,10,-0.4971,-0.5005,-0.286,-0.2891,-0.7004,-0.7051,-0.1814,-0.1834,-1.2223,-1.2305,-0.8821,-0.8917,0.5714,0.216,1.243,1.165,2.1749,5.393,0.2684,0.6656,-0.107,-0.162,-0.1116,0.0661,0.473,0.5353,NEUTRO
8235144,Espanha_2 Segunda Division,15066,1774702800,10870,310,Ceuta,Cádiz,incomplete,2.2,3.35,2.8,1.8,1.95,1.49,0.96,2.07,1.2,2026-03-28 10:00,72.85739869768668,0.0769999999999999,0.53,0.2,0.8699999999999999,0.1999999999999999,0.6000000000000001,10,10,1490.9332744066112,1468.0758757089245,1.339,1.262,0.4,0.2,1.3,1.1,0.8,0.5,0.4860482786219133,0.2494953570408069,0.5444146768585196,0.5460167446616918,0.726429191029259,0.2035840889508541,0.0693062129682093,-0.3014130002857408,-0.0200535816546646,0.0647326520902991,0.416536922507055,-0.6335486398884624,0.0693062129682093,2.2,0.0,-0.3014130002857408,2.8,0.0,-0.0200535816546646,1.8,0.0,0.0647326520902991,1.95,0.0,1490.43,0.9936,10,1483.92,0.9892,10,-0.3481,-0.3503,-0.286,-0.2891,-0.6115,-0.6154,-0.1814,-0.1834,-0.408,-0.4106,-0.8821,-0.8917,0.4545,0.3571,1.316,1.165,2.8943,3.2614,0.4699,0.5295,-0.039,-0.162,0.0315,-0.1076,0.7027,0.2961,VALOR_REAL_CASA
8235162,Espanha_2 Segunda Division,15066,1774719000,283,278,Málaga CF,Leganés,incomplete,1.91,3.5,3.75,1.85,2.12,1.76,1.17,2.19,1.13,2026-03-28 14:30,131.7870955026076,0.3909999999999998,0.5900000000000001,0.3999999999999999,1.06,1.0000000000000002,0.3,10,10,1538.3234010373208,1456.5363055347132,1.715,1.324,0.7,0.3,2.2,1.2,0.8,0.3,0.5824979559245415,0.1839559457370744,0.5315910172475243,0.5443995436070856,0.7225961722493004,0.2051492887227593,0.1125710958158741,-0.3101652034859709,-0.0165566180920799,0.1541270324470216,0.5319038851685169,-0.6204738158628953,0.1125710958158741,1.91,0.0,-0.310165203485971,3.75,0.0,-0.0165566180920799,1.85,0.0,0.1541270324470216,2.12,0.0,1472.83,0.9818,10,1510.64,1.007,10,0.993,1.0114,-0.1133,-0.1125,0.4327,0.4407,0.0099,0.0098,0.8135,0.8286,-0.4217,-0.4188,0.5236,0.2667,2.006,1.25,3.8315,4.686,0.5349,0.6542,0.485,-0.124,0.0589,-0.0827,0.5719,0.5206,NEUTRO
8235174,Espanha_2 Segunda Division,15066,1774980000,286,294,Deportivo La Coruña,Córdoba,incomplete,1.85,3.93,4.04,0.0,0.0,1.45,1.55,1.67,1.25,2026-03-31 15:00,117.50561993334304,-0.4710000000000003,-0.1,0.1999999999999999,0.4199999999999999,-0.3999999999999999,-1.1,10,10,1552.5017241191342,1484.9961041857912,1.368,1.8390000000000004,0.6,0.4,1.1,1.5,0.4,0.8,0.4459423016856543,0.2696992944103188,0.5806136312375784,0.5485974323250187,0.7299279986664986,0.2218384740910723,-0.1750067418815395,0.089585149417688,-1.0,-1.0,-1.0,-1.0,-0.1750067418815395,1.85,0.0,0.089585149417688,4.04,0.0,,,,,,,1514.77,1.0098,10,1509.71,1.0064,10,-0.6461,-0.6398,0.4048,0.4022,-0.531,-0.5258,1.5984,1.5882,0.4064,0.4025,0.0387,0.0385,0.5405,0.2475,1.207,1.636,2.2333,6.6078,0.2988,0.8841,-0.268,-0.339,-0.0946,0.0222,0.5613,0.5864,NEUTRO
8235177,Espanha_2 Segunda Division,15066,1774785600,279,276,SD Eibar,UD Las Palmas,incomplete,2.45,3.0,3.35,0.0,0.0,1.74,1.22,2.13,1.47,2026-03-29 09:00,61.9845459754788,-0.27,0.52,0.2999999999999999,0.6599999999999999,-0.4000000000000001,-0.3,10,10,1562.826788160759,1550.8422421852802,1.311,1.581,0.7,0.4,1.2,1.6,0.3,0.5,0.4591632958299109,0.2729281692909872,0.576324140539101,0.5722294501246142,0.7497109548987974,0.2108221720935902,0.1249500747832819,-0.0856906328751927,-1.0,-1.0,-1.0,-1.0,0.1249500747832816,2.45,0.0,-0.0856906328751929,3.35,0.0,,,,,,,1497.27,0.9981,10,1511.31,1.0075,10,-0.4971,-0.498,0.5775,0.5732,-0.6893,-0.6906,0.8026,0.7966,0.8135,0.815,0.0387,0.0384,0.4082,0.2985,1.244,1.592,3.0488,5.3345,0.3715,0.65,-0.111,0.019,0.051,-0.0256,0.7479,0.5531,VALOR_REAL_CASA
8235179,Espanha_2 Segunda Division,15066,1774793700,1023,672363,Cultural y Deportiva Leonesa,FC Andorra,incomplete,2.4,3.42,3.0,0.0,0.0,1.37,1.47,0.67,1.19,2026-03-29 11:15,1.7987662178557002,-0.3419999999999996,-0.0999999999999998,-0.4,-0.5199999999999999,-0.5999999999999999,0.9000000000000001,10,10,1447.363757927725,1495.5649917098692,1.3270000000000004,1.669,0.0,0.4,0.8,1.4,0.5,0.4,0.3109741646884398,0.3966193619960943,0.545849992340164,0.5151605683728967,0.7028621201838597,0.1968422879088663,-0.2536620047477445,0.189858085988283,-1.0,-1.0,-1.0,-1.0,-0.2536620047477445,2.4,0.0,0.189858085988283,3.0,0.0,,,,,,,1518.58,1.0123,10,1512.82,1.0085,10,-1.0931,-1.0798,0.2321,0.2301,-0.6448,-0.637,1.074,1.0649,-2.0366,-2.0119,0.0387,0.0384,0.4167,0.3333,1.011,1.508,2.4259,4.5228,0.3369,0.6282,-0.527,-0.269,-0.1057,0.0633,0.4503,0.62,NEUTRO
7957630,Holanda_2 Eerste Divisie,14987,1774728000,394,397,Eindhoven,Emmen,incomplete,2.33,3.45,2.85,1.5,1.55,1.5,1.4,1.53,0.93,2026-03-28 17:00,102.96350954855824,0.603,0.1,0.2,0.6,0.5,-0.1999999999999999,10,10,1487.0775237943033,1434.114014245745,1.992,1.3890000000000002,0.4,0.2,1.6,1.1,0.8,0.5,0.4891407674528086,0.2284035540174875,0.5116766167686756,0.4901332241556289,0.6726354410147288,0.1919180142622767,0.1396979881650439,-0.3490498710501605,-0.2324850748469866,-0.2402935025587751,0.0425849335728296,-0.7121229786065848,0.1396979881650439,2.33,0.0,-0.3490498710501606,2.85,0.0,-0.2324850748469866,1.5,0.0,-0.2402935025587752,1.55,0.0,1496.14,0.997,10,1518.02,1.0116,10,0.0989,0.0992,-0.286,-0.2827,1.2019,1.2055,0.2104,0.208,-0.408,-0.4092,-0.8821,-0.872,0.4292,0.3509,1.757,1.216,4.0933,3.4645,0.6164,0.5217,-0.392,-0.289,0.06,-0.1225,0.8237,0.455,VALOR_REAL_CASA
7957631,Holanda_2 Eerste Divisie,14987,1774719900,381,383,Willem II,De Graafschap,incomplete,2.18,4.01,2.75,1.33,1.36,1.79,1.84,1.67,1.67,2026-03-28 14:45,75.48377579533508,0.098,-0.05,0.1999999999999999,0.0,0.3999999999999999,-0.5999999999999999,10,10,1559.3455880710458,1533.8618122757107,1.883,1.785,0.6,0.4,2.0,1.6,0.6,0.6,0.4157509327735076,0.2960674473212851,0.5437756215359544,0.5179922565165294,0.7039838091617393,0.1992750190675579,-0.0936629665537532,-0.185814519866466,-0.2767784233571806,-0.29553053113752,-0.0425820195400344,-0.7349642246401479,-0.0936629665537533,2.18,0.0,-0.185814519866466,2.75,0.0,-0.2767784233571806,1.33,0.0,-0.29553053113752,1.36,0.0,1485.4,0.9899,10,1517.69,1.0114,10,0.695,0.7021,0.5775,0.571,0.8992,0.9084,1.4318,1.4157,0.4064,0.4105,0.0387,0.0383,0.4587,0.3636,1.953,1.674,4.258,4.6035,0.7103,0.7679,0.117,-0.185,-0.043,-0.0676,0.6354,0.4961,NEUTRO
8419030,Argentina_1 Liga Profesional,16571,1774476000,754,711,Deportivo Riestra,San Lorenzo,incomplete,2.45,2.34,3.52,2.62,3.6,1.33,1.18,0.6,1.3,2026-03-25 19:00,-6.475204636068384,0.1588888888888888,0.1500000000000001,-0.3333333333333333,-0.7000000000000001,-0.7777777777777777,-0.3333333333333332,9,9,1451.4888196315972,1507.9640242676655,1.2666666666666666,1.1077777777777778,0.0,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,0.3618402924718865,0.3386647289474361,0.5385101715913125,0.5121762650820733,0.6953595048105081,0.1873390459352302,-0.1134912834438779,0.1920998458949749,0.410896649569239,0.8438345542954637,1.5032942173178294,-0.5091716996496967,-0.113491283443878,2.45,0.0,0.1920998458949749,3.52,0.0,0.410896649569239,2.62,0.0,0.8438345542954637,3.6,0.0,1502.47,1.0016,9,1498.04,0.9987,9,-2.1196,-2.1162,-0.6506,-0.6514,-0.8124,-0.8111,-0.6571,-0.658,-2.0366,-2.0333,-0.2683,-0.2686,0.4082,0.2841,0.643,0.99,1.5745,3.4833,0.1826,0.4039,-1.156,-0.219,-0.0463,0.0546,0.243,0.4487,NEUTRO
8419120,Argentina_1 Liga Profesional,16571,1774981800,696,725,Aldosivi,Argentinos Juniors,suspended,5.1,3.42,1.76,2.28,2.38,1.27,1.87,0.5,1.56,2026-03-31 15:30,-30.6264589370046,-0.6100000000000003,-0.6000000000000001,-0.3333333333333333,-1.06,-0.4444444444444444,0.4444444444444444,9,9,1442.0407120701957,1522.6671710072003,1.2644444444444445,1.8744444444444448,0.0,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,0.2120258104229028,0.5252213142336151,0.5567461244550588,0.5010329816985772,0.697118028860559,0.1949455728166181,0.0813316331568041,-0.0756104869488374,0.2693811637575338,0.1924584964426137,0.6591409086881304,-0.5555240939781106,0.0813316331568041,5.1,0.0,-0.0756104869488374,1.76,0.0,0.2693811637575338,2.28,0.0,0.1924584964426137,2.38,0.0,1481.34,0.9876,9,1505.09,1.0034,9,-1.9541,-1.9786,-1.0344,-1.0309,-0.8185,-0.8288,1.7077,1.7019,-2.0366,-2.0622,-0.2683,-0.2674,0.1961,0.5682,0.702,1.222,3.5784,2.1512,0.3987,0.2397,-1.042,-1.208,0.0159,-0.043,0.4018,0.2336,FALSO_FAVORITO_FORA
8432020,Colombia_1 Liga BetPlay,16614,1774920000,2136,2152,Millonarios,Fortaleza CEIF,incomplete,1.54,3.82,6.14,0.0,0.0,1.56,1.28,1.54,1.08,2026-03-30 22:20,105.96503875650568,0.415,0.28,0.3999999999999999,0.4599999999999999,0.8,-1.1,10,10,1526.3123524725386,1470.3473137160329,1.637,1.222,0.6,0.2,2.0,1.2,0.6,0.6,0.5177236917253845,0.222681429128911,0.5409686340971744,0.531502827538162,0.7132374557720005,0.2010737448834579,-0.2027055147429078,0.3672639748515138,-1.0,-1.0,-1.0,-1.0,-0.2027055147429078,1.54,0.0,0.3672639748515134,6.14,0.0,,,,,,,1510.54,1.0066,10,1513.87,1.0088,10,0.695,0.6904,-0.1133,-0.1123,0.2161,0.2147,-0.3048,-0.3021,0.4064,0.4037,-0.8821,-0.8744,0.6494,0.1629,1.855,1.209,2.8564,7.422,0.3021,0.7849,0.363,-0.022,-0.1316,0.0598,0.5485,0.8362,VALOR_REAL_FORA
8432021,Colombia_1 Liga BetPlay,16614,1774912200,2137,2141,Independiente Medellín,América de Cali,incomplete,2.0,3.45,3.53,0.0,0.0,1.53,1.46,1.08,1.82,2026-03-30 20:10,-13.223991241061183,0.121,0.07,-0.2,-0.74,0.1999999999999999,0.5,10,10,1479.9056961265042,1543.129687367565,1.613,1.492,0.3,0.5,1.5,1.3,0.7,0.4,0.329643839023648,0.3847345359182188,0.5304124476137875,0.5112262259179913,0.6999421473687232,0.1853017052593451,-0.3407123219527039,0.3581129117913124,-1.0,-1.0,-1.0,-1.0,-0.3407123219527039,2.0,0.0,0.3581129117913124,3.53,0.0,,,,,,,1490.21,0.9931,10,1511.3,1.0071,10,-0.0501,-0.0504,0.0594,0.059,0.1494,0.1504,0.5281,0.5244,-0.8151,-0.8208,0.4991,0.4956,0.5,0.2833,1.545,1.377,3.0904,4.8601,0.4377,0.6884,-0.113,-0.192,-0.1704,0.1014,0.5225,0.7063,VALOR_REAL_FORA
