Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Alemanha_1 Bundesliga,Augsburg,14,13,50.0,23.1,77.7,86.7,10.0,11.5,12.9,13.3,7,3,7.1,0.0,28.6,7.7,14.3,30.8
Alemanha_1 Bundesliga,Bayer Leverkusen,13,14,53.8,42.9,78.4,82.2,12.1,12.5,15.4,15.2,7,6,23.1,7.1,15.4,14.3,23.1,21.4
Alemanha_1 Bundesliga,Bayern München,14,13,85.7,84.6,72.6,74.3,10.2,9.4,14.1,12.7,12,11,57.1,53.8,42.9,30.8,50.0,92.3
Alemanha_1 Bundesliga,Borussia Dortmund,14,13,71.4,61.5,84.1,76.8,10.1,12.0,12.1,15.7,10,8,14.3,30.8,21.4,7.7,64.3,38.5
Alemanha_1 Bundesliga,Borussia M'gladbach,13,14,38.5,50.0,70.0,78.1,14.2,11.2,20.3,14.3,5,7,30.8,14.3,15.4,21.4,23.1,21.4
Alemanha_1 Bundesliga,Eintracht Frankfurt,13,14,61.5,35.7,75.5,79.4,10.0,11.2,13.2,14.1,8,5,23.1,7.1,30.8,14.3,30.8,21.4
Alemanha_1 Bundesliga,Freiburg,13,14,53.8,35.7,82.3,71.4,6.0,8.7,7.3,12.2,7,5,0.0,14.3,15.4,28.6,53.8,7.1
Alemanha_1 Bundesliga,Hamburger SV,14,13,35.7,30.8,79.4,71.2,16.9,10.3,21.2,14.5,5,4,14.3,15.4,7.1,7.7,28.6,7.7
Alemanha_1 Bundesliga,Heidenheim,14,13,35.7,30.8,75.4,80.5,12.8,13.5,16.9,16.8,5,4,14.3,7.7,7.1,7.7,35.7,23.1
Alemanha_1 Bundesliga,Hoffenheim,13,14,61.5,35.7,79.4,73.4,11.2,9.3,14.1,12.7,8,5,15.4,14.3,23.1,14.3,30.8,7.1
