Liga,time,pct_marcou_1gol_casa,pct_marcou_1gol_fora,pct_marcou_1gol_geral,avg_min_marcou_1gol_casa,avg_min_marcou_1gol_fora,avg_min_sofreu_1gol_casa,avg_min_sofreu_1gol_fora,dp_min_marcou_1gol_casa,dp_min_marcou_1gol_fora,dp_min_sofreu_1gol_casa,dp_min_sofreu_1gol_fora,cv_min_marcou_1gol_casa,cv_min_marcou_1gol_fora,cv_min_sofreu_1gol_casa,cv_min_sofreu_1gol_fora,n_marcou_1gol_casa,n_sofreu_1gol_casa,n_marcou_1gol_fora,n_sofreu_1gol_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Alemanha_1 Bundesliga,Augsburg,54,38,46,45.4,29.8,24.2,28.0,30.6,18.3,11.7,21.8,67.3,61.4,48.2,77.8,7,5,5,8,16.7,7.7,0.0,7.7,0.0,0.0,0.0,15.4,8.3,0.0,16.7,7.7,0.0,0.0,16.7,0.0,0.0,0.0
Alemanha_1 Bundesliga,Bayer Leverkusen,77,54,65,26.5,24.8,38.3,21.0,24.8,25.1,30.1,12.4,93.5,101.2,78.5,59.0,10,3,6,7,30.8,15.4,7.7,7.7,7.7,15.4,15.4,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,7.7,0.0,0.0
Alemanha_1 Bundesliga,Bayern München,85,54,69,20.5,26.4,9.0,25.7,9.3,21.4,4.2,12.0,45.6,81.1,47.1,46.9,11,2,7,6,15.4,7.7,15.4,15.4,46.2,15.4,7.7,0.0,0.0,7.7,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Borussia Dortmund,92,85,88,33.1,31.0,7.0,21.0,24.6,15.5,,1.4,74.3,50.1,,6.7,12,1,11,2,15.4,15.4,23.1,7.7,7.7,7.7,7.7,38.5,30.8,7.7,0.0,0.0,0.0,7.7,0.0,0.0,7.7,0.0
Alemanha_1 Bundesliga,Borussia M'gladbach,38,31,35,39.2,45.0,24.8,34.9,35.0,21.0,23.9,27.0,89.2,46.7,96.3,77.5,5,5,4,8,20.0,0.0,0.0,8.3,0.0,0.0,10.0,0.0,10.0,8.3,0.0,8.3,0.0,8.3,0.0,0.0,10.0,0.0
Alemanha_1 Bundesliga,Eintracht Frankfurt,62,38,50,45.5,23.4,22.6,12.6,23.8,33.9,26.4,10.6,52.4,144.7,116.9,84.7,8,5,5,7,0.0,16.7,7.7,16.7,15.4,0.0,7.7,0.0,0.0,0.0,7.7,0.0,15.4,0.0,7.7,0.0,0.0,8.3
Alemanha_1 Bundesliga,Freiburg,54,31,42,20.3,22.5,38.8,50.9,16.6,16.7,29.0,21.4,81.6,74.1,74.7,42.1,7,6,4,7,15.4,9.1,15.4,9.1,0.0,0.0,23.1,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Hamburger SV,50,17,35,25.6,48.0,40.7,31.6,13.1,0.0,24.1,25.1,51.3,0.0,59.2,79.4,7,6,2,7,7.7,0.0,15.4,0.0,7.7,0.0,15.4,0.0,7.7,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Heidenheim,23,8,15,31.3,46.0,34.5,43.1,16.0,,17.9,20.7,51.1,,51.8,48.1,3,10,1,12,0.0,0.0,7.7,0.0,0.0,0.0,7.7,0.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Hoffenheim,54,36,44,23.0,35.6,33.2,17.0,15.2,18.5,22.2,12.0,66.1,52.0,66.9,70.9,7,6,5,8,15.4,7.7,15.4,0.0,7.7,7.7,0.0,0.0,15.4,15.4,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Köln,62,38,50,25.5,30.2,43.8,40.9,17.0,40.1,29.8,28.2,66.7,132.5,67.9,69.1,8,5,4,9,15.4,15.4,7.7,7.7,15.4,0.0,7.7,0.0,7.7,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Alemanha_1 Bundesliga,Mainz 05,38,46,42,31.0,31.0,33.9,26.6,13.6,21.8,31.5,26.6,43.9,70.2,93.1,100.3,5,7,6,7,8.3,7.7,0.0,7.7,8.3,15.4,16.7,0.0,8.3,7.7,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,RB Leipzig,86,62,74,33.7,28.9,45.5,40.5,18.2,24.7,9.2,18.6,54.0,85.5,20.2,45.9,12,2,8,4,7.1,33.3,28.6,0.0,0.0,8.3,14.3,8.3,21.4,0.0,7.1,0.0,7.1,16.7,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,St. Pauli,25,29,27,41.7,26.5,36.3,32.4,11.5,18.4,19.4,16.1,27.7,69.3,53.4,49.7,3,7,4,9,0.0,7.7,0.0,7.7,0.0,0.0,20.0,7.7,0.0,7.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemanha_1 Bundesliga,Stuttgart,62,46,54,53.4,22.8,16.2,27.4,26.0,14.6,16.7,14.7,48.7,64.1,102.7,53.5,8,4,6,7,0.0,15.4,8.3,7.7,8.3,7.7,0.0,15.4,8.3,0.0,16.7,0.0,8.3,0.0,8.3,0.0,8.3,0.0
Alemanha_1 Bundesliga,Union Berlin,54,38,46,27.7,52.8,42.2,50.6,17.8,37.4,30.9,25.3,64.1,70.9,73.1,50.0,7,4,5,8,9.1,7.7,18.2,0.0,18.2,7.7,0.0,0.0,9.1,7.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,15.4
