Liga,time,total_jogos_ca,total_jogos_fo,total_jogos_ht_ca,total_jogos_ht_fo,over05_ht_casa,over15_ht_casa,over25_ht_casa,over05_ht_fora,over15_ht_fora,over25_ht_fora,over05_2h_casa,over15_2h_casa,over25_2h_casa,over05_2h_fora,over15_2h_fora,over25_2h_fora,media_gols_ht_casa,media_gols_ht_fora,media_gols_2h_casa,media_gols_2h_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Alemanha_1 Bundesliga,Augsburg,13,13,13,13,61.5,38.5,7.7,76.9,38.5,30.8,76.9,46.2,30.8,92.3,38.5,15.4,1.15,1.54,1.62,1.54,15.4,7.7,0.0,7.7,7.7,7.7,0.0,15.4,23.1,15.4,38.5,15.4,7.7,0.0,23.1,7.7,15.4,30.8
Alemanha_1 Bundesliga,Bayer Leverkusen,13,13,13,13,76.9,38.5,15.4,92.3,76.9,46.2,92.3,46.2,0.0,61.5,30.8,15.4,1.54,2.31,1.38,1.08,30.8,15.4,23.1,7.7,23.1,30.8,15.4,38.5,23.1,30.8,23.1,15.4,23.1,7.7,15.4,7.7,23.1,23.1
Alemanha_1 Bundesliga,Bayern München,13,13,13,13,100.0,84.6,46.2,92.3,53.8,0.0,92.3,84.6,38.5,100.0,76.9,46.2,2.54,1.46,2.46,2.62,23.1,7.7,23.1,15.4,76.9,30.8,23.1,15.4,69.2,61.5,30.8,7.7,53.8,53.8,46.2,30.8,53.8,92.3
Alemanha_1 Bundesliga,Borussia Dortmund,13,13,13,13,92.3,30.8,7.7,92.3,30.8,0.0,84.6,46.2,30.8,76.9,69.2,15.4,1.31,1.23,1.85,1.85,15.4,15.4,30.8,7.7,15.4,7.7,7.7,46.2,46.2,15.4,30.8,23.1,15.4,30.8,7.7,7.7,61.5,38.5
Alemanha_1 Bundesliga,Borussia M'gladbach,13,13,13,13,61.5,38.5,23.1,61.5,38.5,15.4,61.5,38.5,23.1,92.3,53.8,7.7,1.46,1.23,1.38,1.54,15.4,0.0,7.7,7.7,7.7,0.0,15.4,15.4,7.7,7.7,0.0,15.4,30.8,15.4,15.4,23.1,23.1,23.1
Alemanha_1 Bundesliga,Eintracht Frankfurt,13,13,13,13,61.5,46.2,7.7,84.6,76.9,30.8,100.0,53.8,30.8,84.6,69.2,38.5,1.15,2.08,2.0,2.31,0.0,15.4,7.7,30.8,30.8,15.4,15.4,30.8,23.1,15.4,15.4,46.2,23.1,7.7,30.8,15.4,30.8,23.1
Alemanha_1 Bundesliga,Freiburg,13,13,13,13,84.6,46.2,30.8,46.2,15.4,7.7,76.9,46.2,15.4,84.6,69.2,38.5,1.69,0.77,1.38,2.31,15.4,7.7,23.1,15.4,7.7,0.0,23.1,15.4,30.8,0.0,15.4,23.1,0.0,7.7,15.4,23.1,53.8,7.7
Alemanha_1 Bundesliga,Hamburger SV,14,12,14,12,78.6,42.9,7.1,58.3,25.0,8.3,71.4,50.0,7.1,75.0,33.3,25.0,1.29,1.0,1.36,1.42,14.3,0.0,14.3,0.0,7.1,0.0,21.4,8.3,14.3,25.0,21.4,8.3,14.3,16.7,7.1,8.3,28.6,8.3
Alemanha_1 Bundesliga,Heidenheim,13,13,13,13,76.9,46.2,15.4,61.5,23.1,7.7,92.3,69.2,30.8,100.0,61.5,7.7,1.46,1.08,2.08,1.69,0.0,0.0,15.4,0.0,15.4,0.0,15.4,0.0,7.7,23.1,15.4,7.7,15.4,7.7,0.0,7.7,30.8,23.1
Alemanha_1 Bundesliga,Hoffenheim,13,14,13,14,84.6,53.8,23.1,85.7,57.1,14.3,69.2,61.5,23.1,85.7,50.0,35.7,1.69,1.71,1.62,1.86,15.4,7.1,23.1,7.1,23.1,14.3,15.4,14.3,61.5,50.0,7.7,57.1,15.4,14.3,23.1,14.3,30.8,7.1
