fixture_id,league,season_id,date_unix,home_id,away_id,home_team,away_team,status,odd_home_d2,odd_draw_d2,odd_away_d2,odd_btts_d2,odd_over25_d2,xg_home_pre,xg_away_pre,ppg_home,ppg_away,datahora,elo_delta,xg_n10_diff,xg_pre_diff,pct_vit_diff,ppg_diff,gols_marc_diff,gols_sof_diff,n10_home,n10_away,elo_home,elo_away,xg_home_n10,xg_away_n10,pct_vit_home,pct_vit_away,gols_marc_home,gols_marc_away,pct_over25_home,pct_over25_away,prob_bc,prob_bf,prob_btts,prob_over25,prob_o05ht,prob_btts_ht,ev_bc_d2,ev_bf_d2,ev_btts_d2,ev_over25_d2,ev_o05ht_d2,ev_btts_ht_d2,ev_bc,odd_home_atual,mov_odd_home,ev_bf,odd_away_atual,mov_odd_away,ev_over25,odd_over25_atual,mov_odd_over25,ev_btts,odd_btts_atual,mov_odd_btts
8227850,Alemanha_2 2. Bundesliga,14931,1775300400,542,545,Kaiserslautern,Fortuna Düsseldorf,incomplete,0.0,0.0,0.0,0.0,0.0,1.72,1.48,2.0,1.0,2026-04-04 08:00,84.47088751456135,-0.2929999999999999,0.24,0.0,1.0,0.5,0.7,10,10,1491.5295113461657,1457.058623831604,1.311,1.604,0.4,0.4,1.6,1.1,0.9,0.5,0.4279796722126546,0.3308479160366736,0.5525895344178305,0.5828262768785987,0.7370962030025947,0.2251424321493662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8227998,Alemanha_2 2. Bundesliga,14931,1775300400,558,540,Magdeburg,Bochum,incomplete,0.0,0.0,0.0,0.0,0.0,1.82,1.24,0.62,0.85,2026-04-04 08:00,3.076825324939364,0.1729999999999998,0.5800000000000001,0.0999999999999999,-0.2299999999999999,0.3,0.7000000000000002,10,10,1441.2631734542078,1488.1863481292685,1.749,1.576,0.3,0.2,1.8,1.5,0.7,0.4,0.3930671875836504,0.3424396267564765,0.5377136427568862,0.5756173367440749,0.7307542593462353,0.1796777432471664,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8228000,Alemanha_2 2. Bundesliga,14931,1775300400,543,48,Arminia Bielefeld,Darmstadt 98,incomplete,0.0,0.0,0.0,0.0,0.0,1.74,1.39,1.38,1.23,2026-04-04 08:00,-94.83558863339954,0.236,0.3500000000000001,-0.2,0.1499999999999999,-0.8,0.1999999999999999,10,10,1439.585140395844,1584.4207290292436,1.688,1.452,0.2,0.4,1.2,2.0,0.5,0.6,0.2709519666353061,0.4781559944183515,0.52908169711878,0.5001695169346675,0.6948902153176527,0.1843077881637808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8205999,Alemanha_3 3. Liga,14977,1775304000,551,6760,Erzgebirge Aue,Hoffenheim II,incomplete,0.0,0.0,0.0,0.0,0.0,1.63,1.61,1.13,1.14,2026-04-04 09:00,6.859779945482615,0.0010000000000003,0.0199999999999997,-0.1,-0.01,-0.3,0.1,10,10,1377.5519883192085,1420.692208373726,1.3240000000000005,1.323,0.0,0.1,1.0,1.3,0.9,0.8,0.3439318588626562,0.372423117513293,0.5387900574971727,0.5056628198632941,0.6986866037334881,0.1921268974320655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8206008,Alemanha_3 3. Liga,14977,1775304000,546,6791,1860 München,Waldhof Mannheim,incomplete,0.0,0.0,0.0,0.0,0.0,1.48,1.5,1.93,1.07,2026-04-04 09:00,93.41535749543073,-0.3389999999999999,-0.02,0.0,0.8599999999999999,0.1,-0.9,10,10,1555.3491607198002,1511.9338032243695,1.141,1.48,0.5,0.5,1.6,1.5,0.6,0.8,0.4332513558508797,0.3059589393077367,0.5578011869846202,0.5576534447901973,0.7276104354027205,0.2329689547732858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8206089,Alemanha_3 3. Liga,14977,1775304000,567,6305,Hansa Rostock,Viktoria Köln,incomplete,0.0,0.0,0.0,0.0,0.0,1.99,1.35,1.73,1.0,2026-04-04 09:00,212.5437817605205,0.1169999999999997,0.6399999999999999,0.2,0.73,0.7,-0.1999999999999999,10,10,1607.675855102805,1445.1320733422845,1.493,1.376,0.5,0.3,2.0,1.3,0.7,0.5,0.6640932689337632,0.1423789703919771,0.5457755043583538,0.6105833819000639,0.7486448117881294,0.2235039304214421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8206090,Alemanha_3 3. Liga,14977,1775304000,6763,572,Havelse,Energie Cottbus,incomplete,0.0,0.0,0.0,0.0,0.0,1.42,1.69,1.07,1.64,2026-04-04 09:00,-110.58770091893916,-0.2050000000000003,-0.27,-0.2,-0.5699999999999998,0.1999999999999999,1.9,10,10,1404.2348570062472,1564.8225579251864,1.4839999999999998,1.689,0.2,0.4,1.4,1.2,0.8,0.5,0.1848815191804212,0.5910882933976489,0.5396759811779949,0.4846840417516898,0.6896644514943264,0.1704861202338743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8206128,Alemanha_3 3. Liga,14977,1775304000,562,6302,Osnabrück,Schweinfurt,incomplete,0.0,0.0,0.0,0.0,0.0,1.61,1.36,1.87,0.2,2026-04-04 09:00,326.6927607248542,0.2989999999999999,0.25,0.6000000000000001,1.6700000000000002,1.0,-1.4,10,10,1636.52840205363,1359.8356413287756,1.622,1.323,0.8,0.2,2.1,1.1,0.4,0.6,0.7617910098509492,0.0781587463040278,0.5450224342844013,0.540120318928105,0.7158504946373512,0.2276595873013588,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,
8266579,Australia_1 A-League,16036,1775118900,689390,605,Macarthur,Newcastle Jets FC,incomplete,2.93,4.12,2.21,0.0,0.0,1.49,1.5,1.18,2.27,2026-04-02 05:35,-62.45125646371093,0.0419999999999998,-0.01,-0.6000000000000001,-1.09,-0.8000000000000003,1.2000000000000002,10,10,1485.2296790420633,1597.6809355057742,1.824,1.782,0.2,0.8,1.4,2.2,0.7,0.8,0.271943904831128,0.4560733839596778,0.5277051217649728,0.4858758958347077,0.6892054119138512,0.1831587310381377,-0.2032043588447949,0.007922178550888,-1.0,-1.0,-1.0,-1.0,-0.20320435884479493,2.93,0.0,0.007922178550887837,2.21,0.0,,,,,,
8266580,Australia_1 A-League,16036,1775282400,603,600,Central Coast Mariners,Perth Glory FC,incomplete,2.46,3.62,2.83,0.0,1.73,1.0,1.02,1.27,1.09,2026-04-04 03:00,107.41948230598882,-0.1170000000000001,-0.02,0.3,0.1799999999999999,0.3999999999999999,-0.3999999999999999,10,10,1503.6782307742092,1446.2587484682203,0.99,1.107,0.4,0.1,1.4,1.0,0.6,0.6,0.4541844627970811,0.2601562257263807,0.5500702302568834,0.5406349622614296,0.7148951610222543,0.1933531778812956,0.1172937784808196,-0.2637578811943424,-1.0,-0.0647015152877268,0.2367686285684997,-1.0,0.11729377848081946,2.46,0.0,-0.2637578811943426,2.83,0.0,-0.06470151528772683,1.73,0.0,,,
8266581,Australia_1 A-League,16036,1775291700,602,608,Melbourne City FC,Western Sydney Wanderers,incomplete,2.22,3.64,3.21,0.0,1.71,1.6,1.73,1.22,0.73,2026-04-04 05:35,97.0282623253031,-0.3699999999999999,-0.1299999999999999,0.0999999999999999,0.49,-0.5999999999999999,-0.1999999999999999,10,10,1488.1462459456122,1441.1179836203091,1.376,1.7459999999999998,0.3,0.2,1.1,1.7,0.5,0.8,0.4052069318201822,0.3104779886969055,0.5498100926469226,0.5333282246085307,0.7061719379466329,0.2032385400647156,-0.1004406113591953,-0.0033656562829331,-1.0,-0.0880087359194125,0.2075540138887421,-1.0,-0.10044061135919546,2.22,0.0,-0.0033656562829332826,3.21,0.0,-0.0880087359194125,1.71,0.0,,,
8266583,Australia_1 A-League,16036,1775205300,601,1281177,Adelaide United,Auckland,incomplete,3.62,4.02,1.96,0.0,0.0,1.63,1.45,1.82,1.91,2026-04-03 05:35,39.16105386653612,0.1089999999999999,0.1799999999999999,0.0999999999999999,-0.0899999999999998,0.2000000000000001,0.1,10,10,1541.004452342179,1551.843398475643,1.8240000000000005,1.7150000000000003,0.5,0.4,2.1,1.9,0.6,0.8,0.4025784583062903,0.3115753992590289,0.5396093230896882,0.5286516863292113,0.7098712963125022,0.1855714763429425,0.4573340190687709,-0.3893122174523034,-1.0,-1.0,-1.0,-1.0,0.4573340190687709,3.62,0.0,-0.3893122174523034,1.96,0.0,,,,,,
8269962,Australia_1 A-League,16036,1775124000,604,606,Brisbane Roar,Sydney FC,incomplete,3.54,3.6,2.1,0.0,1.75,1.57,1.51,1.09,1.45,2026-04-02 07:00,-10.958897506832727,-0.0929999999999999,0.06,-0.1999999999999999,-0.3599999999999999,0.0,0.5,10,10,1428.876432194373,1489.8353297012054,1.591,1.684,0.1,0.3,1.1,1.1,0.6,0.5,0.3243467278451054,0.4047656357795627,0.5424492512972423,0.5308940283193171,0.7132969128530857,0.193927100665264,0.1481874165716732,-0.1499921648629183,-1.0,-0.070935450441195,0.2482695974929001,-1.0,0.148187416571673,3.54,0.0,-0.14999216486291833,2.1,0.0,-0.07093545044119509,1.75,0.0,,,
8501089,Belgica_1 Pro League,14937,1775241900,1048,533,Royal Antwerp FC,KRC Genk,incomplete,3.0,3.6,2.3,0.0,0.0,1.26,1.76,1.17,1.4,2026-04-03 15:45,-9.352584027705234,-0.4379999999999999,-0.5,-0.3,-0.2299999999999999,-1.2,-0.5,10,10,1459.514079322794,1518.8666633504993,1.109,1.547,0.2,0.5,0.7,1.9,0.2,0.7,0.265616482646836,0.4517075196628395,0.5474802640706483,0.4778189400915124,0.683164854683848,0.200845599955446,-0.2031505520594918,0.0389272952245309,-1.0,-1.0,-1.0,-1.0,-0.20315055205949195,3.0,0.0,0.038927295224530756,2.3,0.0,,,,,,
